  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.36625918E+04  0.47828685E-14
  0.38167789E+04  0.40960653E-14
  0.39774570E+04  0.35062486E-14
  0.41448992E+04  0.29983778E-14
  0.43193904E+04  0.25622427E-14
  0.45012273E+04  0.21884513E-14
  0.46907191E+04  0.18697088E-14
  0.48881882E+04  0.15960961E-14
  0.50939702E+04  0.13604072E-14
  0.53084152E+04  0.11599860E-14
  0.55318879E+04  0.98814664E-15
  0.57647683E+04  0.84110100E-15
  0.60074524E+04  0.71607771E-15
  0.62603530E+04  0.60885305E-15
  0.65239002E+04  0.51726804E-15
  0.67985421E+04  0.43963618E-15
  0.70847459E+04  0.37357797E-15
  0.73829982E+04  0.31708145E-15
  0.76938063E+04  0.26898611E-15
  0.80176987E+04  0.22825489E-15
  0.83552263E+04  0.19385707E-15
  0.87069631E+04  0.16425998E-15
  0.90735072E+04  0.13925812E-15
  0.94554820E+04  0.11785054E-15
  0.98535372E+04  0.99833794E-16
  0.10268350E+05  0.84472532E-16
  0.10700625E+05  0.71380946E-16
  0.11151098E+05  0.60456885E-16
  0.11620534E+05  0.51092894E-16
  0.12109733E+05  0.43266059E-16
  0.12619527E+05  0.36502006E-16
  0.13150781E+05  0.30805178E-16
  0.13704400E+05  0.26021494E-16
  0.14281326E+05  0.21965639E-16
  0.14882538E+05  0.18535724E-16
  0.15509061E+05  0.15631065E-16
  0.16161958E+05  0.13179386E-16
  0.16842341E+05  0.11106091E-16
  0.17551367E+05  0.93581715E-17
  0.18290241E+05  0.78784139E-17
  0.19060220E+05  0.66229021E-17
  0.19862614E+05  0.55799755E-17
  0.20698787E+05  0.46870053E-17
  0.21570160E+05  0.39386782E-17
  0.22478217E+05  0.33203948E-17
  0.23424501E+05  0.27767422E-17
  0.24410621E+05  0.23246182E-17
  0.25438255E+05  0.19540212E-17
  0.26509150E+05  0.16461991E-17
  0.27625127E+05  0.13757980E-17
  0.28788085E+05  0.11587399E-17
  0.30000000E+05  0.96297388E-18
  Principal QN n  Azimuthal QN l
               2               1
 Electron Energy Probability dst
  0.10000000E+01  0.19539949E-07
  0.10420978E+01  0.19602638E-07
  0.10859679E+01  0.19666936E-07
  0.11316847E+01  0.19732835E-07
  0.11793262E+01  0.19800323E-07
  0.12289732E+01  0.19869383E-07
