1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
1.0236683e-14,2.5431544e-13,1.8458019e-12,3.6461499e-12,2.3687283e-11,6.3299128e-10,3.8458649e-11,1.6247912e-10,3.228239e-08,9.6219105e-11,6.1226576e-09,20.790583
1.0228762e-14,2.5416146e-13,1.8553702e-12,3.6371084e-12,2.3645866e-11,6.1019987e-10,3.8209548e-11,1.6077024e-10,2.7857429e-08,9.8504326e-11,5.3376941e-09,21.739375
1.0221357e-14,2.5400159e-13,1.8650703e-12,3.6277537e-12,2.3602179e-11,5.8351001e-10,3.79511e-11,1.5903703e-10,2.3959223e-08,1.0050137e-10,4.6454327e-09,22.731466
1.0214481e-14,2.5382623e-13,1.8740286e-12,3.6180752e-12,2.3556136e-11,5.5357633e-10,3.7682991e-11,1.572814e-10,2.0608353e-08,1.0218706e-10,4.0366269e-09,23.768832
1.0208136e-14,2.5362722e-13,1.8815007e-12,3.6080617e-12,2.3507655e-11,5.2131168e-10,3.7404898e-11,1.5550423e-10,1.7744299e-08,1.0354404e-10,3.5024686e-09,24.853539
1.0202305e-14,2.5340289e-13,1.8873302e-12,3.5977009e-12,2.345666e-11,4.8794865e-10,3.7116526e-11,1.5370603e-10,1.5277225e-08,1.045596e-10,3.0348273e-09,25.987747
1.0196949e-14,2.5315259e-13,1.8914526e-12,3.5869794e-12,2.3403086e-11,4.551058e-10,3.6817628e-11,1.518874e-10,1.3145597e-08,1.0522685e-10,2.6265036e-09,27.173715
1.0192003e-14,2.5287602e-13,1.8938295e-12,3.5758874e-12,2.3346881e-11,4.2486537e-10,3.6507972e-11,1.5005046e-10,1.1310087e-08,1.0554026e-10,2.2706915e-09,28.413806
1.0187369e-14,2.5257323e-13,1.8944566e-12,3.5644164e-12,2.3287999e-11,3.9946965e-10,3.6187336e-11,1.4819783e-10,9.7293202e-09,1.0549929e-10,1.9613164e-09,29.710489
1.0182907e-14,2.522448e-13,1.893373e-12,3.5525584e-12,2.3226332e-11,3.7935064e-10,3.5855518e-11,1.4633216e-10,8.3659191e-09,1.0511205e-10,1.6928921e-09,31.066348
1.0178425e-14,2.5189195e-13,1.8906724e-12,3.5403051e-12,2.3161745e-11,3.6405037e-10,3.5512336e-11,1.4445476e-10,7.1819522e-09,1.0438628e-10,1.4604798e-09,32.484081
1.0173675e-14,2.5151663e-13,1.8865172e-12,3.5276486e-12,2.3094096e-11,3.5283761e-10,3.5157631e-11,1.4256563e-10,6.1569326e-09,1.0333322e-10,1.2596356e-09,33.966514
1.0168332e-14,2.5112179e-13,1.8811534e-12,3.5145808e-12,2.3023235e-11,3.4464599e-10,3.4791227e-11,1.406643e-10,5.2656931e-09,1.0196944e-10,1.0863704e-09,35.516599
1.0162012e-14,2.5071149e-13,1.8749306e-12,3.5010938e-12,2.2949006e-11,3.3800007e-10,3.4412907e-11,1.3875129e-10,4.4912931e-09,1.0031361e-10,9.3716976e-10,37.137423
1.0154555e-14,2.5029122e-13,1.8683231e-12,3.4871793e-12,2.2871243e-11,3.3100143e-10,3.4022457e-11,1.3682792e-10,3.8210515e-09,9.8387061e-11,8.0890906e-10,38.832214
1.0145998e-14,2.4986812e-13,1.8619571e-12,3.4728278e-12,2.278977e-11,3.2268298e-10,3.3619664e-11,1.3489504e-10,3.2375354e-09,9.6213703e-11,6.9875764e-10,40.604349
1.0136418e-14,2.4945118e-13,1.8566257e-12,3.4580292e-12,2.2704409e-11,3.1326525e-10,3.3204365e-11,1.3295308e-10,2.7308691e-09,9.3819125e-11,6.0434756e-10,42.457356
1.0125933e-14,2.4904593e-13,1.8528149e-12,3.4427727e-12,2.2614969e-11,3.0311447e-10,3.2776505e-11,1.3100247e-10,2.2931506e-09,9.1222935e-11,5.2346249e-10,44.394926
1.0114715e-14,2.4865161e-13,1.8504518e-12,3.4270463e-12,2.2521253e-11,2.9272172e-10,3.2336078e-11,1.290436e-10,1.9148041e-09,8.8451526e-11,4.5425655e-10,46.420918
1.0103002e-14,2.4826625e-13,1.8493613e-12,3.4108367e-12,2.2423053e-11,2.8272864e-10,3.1883128e-11,1.2707602e-10,1.5903132e-09,8.5537025e-11,3.9508553e-10,48.539368
1.0091109e-14,2.4788678e-13,1.8492812e-12,3.3941291e-12,2.2320157e-11,2.7392781e-10,3.141772e-11,1.2509843e-10,1.3128679e-09,8.249668e-11,3.4450616e-10,50.754495
1.0079445e-14,2.4750884e-13,1.8498432e-12,3.3769074e-12,2.2212364e-11,2.666706e-10,3.0939838e-11,1.2310986e-10,1.0768503e-09,7.9356284e-11,3.012813e-10,53.070711
1.006842e-14,2.4712645e-13,1.8505502e-12,3.3591532e-12,2.2099483e-11,2.6072568e-10,3.0449455e-11,1.211093e-10,8.7815603e-10,7.6152938e-11,2.6430548e-10,55.492628
1.0058123e-14,2.4673168e-13,1.8507493e-12,3.3408455e-12,2.1981322e-11,2.5572731e-10,2.9946565e-11,1.1909468e-10,7.1180807e-10,7.2889002e-11,2.3267094e-10,58.025072
1.0048551e-14,2.4631707e-13,1.8498328e-12,3.3219594e-12,2.1857693e-11,2.511704e-10,2.9431291e-11,1.1706471e-10,5.7419632e-10,6.9601534e-11,2.0560953e-10,60.673085
1.0039674e-14,2.4588137e-13,1.8477111e-12,3.3024659e-12,2.1728411e-11,2.4650925e-10,2.8903859e-11,1.1501908e-10,4.6173348e-10,6.6316679e-11,1.8234988e-10,63.441942
1.0031432e-14,2.4542471e-13,1.8444177e-12,3.2823406e-12,2.1593285e-11,2.4166051e-10,2.8364424e-11,1.1295628e-10,3.7122242e-10,6.3037742e-11,1.6242283e-10,66.337158
1.0023722e-14,2.4494749e-13,1.8400244e-12,3.2615668e-12,2.1452129e-11,2.3670998e-10,2.7812926e-11,1.1087275e-10,2.9971413e-10,5.9790426e-11,1.4517336e-10,69.364499
