  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.98256386E+04  0.12808509E-14
  0.10274038E+05  0.10868613E-14
  0.10742901E+05  0.92144327E-15
  0.11233160E+05  0.78036578E-15
  0.11745793E+05  0.66073071E-15
  0.12281820E+05  0.55892009E-15
  0.12842310E+05  0.47213581E-15
  0.13428377E+05  0.39882203E-15
  0.14041190E+05  0.33643795E-15
  0.14681969E+05  0.28373182E-15
  0.15351991E+05  0.23900811E-15
  0.16052589E+05  0.20131078E-15
  0.16785160E+05  0.16932429E-15
  0.17551162E+05  0.14238049E-15
  0.18352121E+05  0.11961736E-15
  0.19189633E+05  0.10044183E-15
  0.20065365E+05  0.84225529E-16
  0.20981061E+05  0.70567271E-16
  0.21938546E+05  0.59166409E-16
  0.22939727E+05  0.49445723E-16
  0.23986596E+05  0.41410681E-16
  0.25081241E+05  0.34601578E-16
  0.26225840E+05  0.28919943E-16
  0.27422674E+05  0.24118546E-16
  0.28674126E+05  0.20137622E-16
  0.29982690E+05  0.16794237E-16
  0.31350970E+05  0.13984810E-16
  0.32781693E+05  0.11644295E-16
  0.34277707E+05  0.96851869E-17
  0.35841994E+05  0.80633011E-17
  0.37477667E+05  0.66925660E-17
  0.39187986E+05  0.55701113E-17
  0.40976356E+05  0.46130827E-17
  0.42846340E+05  0.38286687E-17
  0.44801661E+05  0.31760095E-17
  0.46846215E+05  0.26295768E-17
  0.48984074E+05  0.21808495E-17
  0.51219495E+05  0.18011648E-17
  0.53556932E+05  0.14900110E-17
  0.56001038E+05  0.12293775E-17
  0.58556683E+05  0.10161306E-17
  0.61228957E+05  0.83809226E-18
  0.64023182E+05  0.69385401E-18
  0.66944923E+05  0.57054729E-18
  0.70000000E+05  0.47044102E-18
  Principal QN n  Azimuthal QN l
               2               1
 Electron Energy Probability dst
  0.10000000E+01  0.43134190E-09
  0.10456357E+01  0.43830463E-09
  0.10933540E+01  0.44562767E-09
  0.11432499E+01  0.45332990E-09
  0.11954229E+01  0.46143110E-09
  0.12499768E+01  0.46995188E-09
  0.13070204E+01  0.47891379E-09
  0.13666671E+01  0.48833920E-09
  0.14290359E+01  0.49825137E-09
  0.14942509E+01  0.50867440E-09
  0.15624421E+01  0.51963315E-09
  0.16337452E+01  0.53115320E-09
  0.17083022E+01  0.54326079E-09
  0.17862617E+01  0.55598266E-09
  0.18677790E+01  0.56934575E-09
  0.19530164E+01  0.58337522E-09
  0.20421436E+01  0.59809443E-09
  0.21353382E+01  0.61352536E-09
  0.22327858E+01  0.62968807E-09
  0.23346805E+01  0.64660010E-09
  0.24412252E+01  0.66427563E-09
  0.25526322E+01  0.68272462E-09
  0.26691232E+01  0.70195170E-09
  0.27909305E+01  0.72195489E-09
  0.29182965E+01  0.74272412E-09
  0.30514749E+01  0.76423945E-09
  0.31907310E+01  0.78646899E-09
  0.33363422E+01  0.80936651E-09
  0.34885984E+01  0.83286858E-09
  0.36478030E+01  0.85689130E-09
  0.38142729E+01  0.88132739E-09
  0.39883398E+01  0.90607098E-09
  0.41703504E+01  0.93102759E-09
  0.43606672E+01  0.95608573E-09
  0.45596692E+01  0.98111238E-09
  0.47677528E+01  0.10059498E-08
  0.49853324E+01  0.10304116E-08
  0.52128414E+01  0.10542789E-08
  0.54507329E+01  0.10772951E-08
  0.56994808E+01  0.10991666E-08
  0.59595804E+01  0.11196563E-08
  0.62315499E+01  0.11385936E-08
  0.65159309E+01  0.11558089E-08
  0.68132898E+01  0.11711350E-08
  0.71242189E+01  0.11844108E-08
  0.74493374E+01  0.11954855E-08
  0.77892930E+01  0.12042254E-08
  0.81447626E+01  0.12105262E-08
  0.85164544E+01  0.12143233E-08
  0.89051085E+01  0.12155987E-08
  0.93114992E+01  0.12143936E-08
  0.97364357E+01  0.12108241E-08
  0.10180765E+02  0.12050996E-08
  0.10645371E+02  0.11974694E-08
  0.11131179E+02  0.11879857E-08
  0.11639158E+02  0.11766750E-08
  0.12170319E+02  0.11636116E-08
  0.12725720E+02  0.11489291E-08
  0.13306467E+02  0.11328343E-08
  0.13913716E+02  0.11156233E-08
  0.14548678E+02  0.10976796E-08
  0.15212617E+02  0.10792103E-08
